student_id,age,study_hours,attendance,previous_score,assignments_completed,sleep_hours,extracurricular_hours,internet_access,parental_support,final_score,performance,support_required
S0001,22,3.9,84.1,73.8,3,8.1,2.2,1,2,75.8,Good,0
S0002,20,6.8,87.6,76.5,6,5.2,3.6,1,1,79.8,Good,0
S0003,21,6.8,59.7,73.8,5,6.7,2.4,1,2,73.2,Good,1
S0004,22,4.3,63.1,54.1,10,6.9,1.2,1,2,77.6,Good,1
S0005,20,6.4,68.9,60.7,8,5.6,2.7,1,2,69.1,Average,1
S0006,21,4.2,67.7,86.4,10,8.6,1.3,1,4,82.8,Good,1
S0007,22,3.6,89.0,92.0,7,5.7,2.2,1,5,91.4,Good,0
S0008,18,4.8,99.7,50.0,10,5.6,0.4,1,4,80.0,Good,0
S0009,17,2.4,85.7,40.6,8,7.5,2.3,1,4,61.1,Average,0
S0010,18,3.2,56.5,92.9,6,6.4,1.9,1,4,67.0,Average,1
S0011,18,5.9,68.4,87.3,3,7.6,2.6,1,3,82.6,Good,1
S0012,22,6.4,91.1,73.4,8,4.8,2.3,1,5,90.0,Good,0
S0013,22,1.4,96.6,84.9,3,4.7,2.3,1,4,69.3,Average,0
S0014,17,6.1,81.8,72.7,9,7.7,2.9,1,4,91.4,Good,0
S0015,19,6.7,70.7,89.8,5,5.9,0.5,1,5,100.0,Good,0
S0016,21,4.1,71.0,53.4,4,8.3,3.0,1,4,65.3,Average,0
S0017,17,1.4,83.5,64.4,8,5.2,2.5,1,2,50.9,Average,1
S0018,21,5.8,93.9,76.9,10,5.2,2.8,1,3,94.7,Good,0
S0019,17,2.7,70.3,51.9,8,8.3,1.6,1,4,70.0,Average,0
S0020,19,5.5,63.6,79.3,3,5.8,0.3,1,4,77.1,Good,1
S0021,21,3.6,55.1,54.4,5,4.5,3.7,1,4,49.1,Needs Support,1
S0022,18,5.5,61.2,79.1,8,5.1,3.3,1,4,92.4,Good,1
S0023,19,2.8,93.3,84.2,4,7.8,3.9,1,1,73.6,Good,0
S0024,18,4.3,83.1,63.3,4,5.3,1.8,1,5,73.0,Good,0
S0025,21,4.7,99.6,94.5,6,6.8,3.5,1,5,80.6,Good,0
S0026,18,5.4,58.1,74.7,4,8.2,3.5,1,1,77.2,Good,1
S0027,22,2.4,71.5,81.6,7,7.1,2.2,0,1,68.9,Average,0
S0028,19,7.7,90.8,41.1,4,7.8,3.6,1,4,93.1,Good,0
S0029,19,3.0,84.8,46.2,5,8.9,3.3,1,1,61.0,Average,0
S0030,20,3.1,58.0,79.1,10,5.5,0.4,1,1,64.6,Average,1
S0031,20,2.8,73.1,91.9,9,8.4,0.5,1,4,85.9,Good,0
S0032,20,1.5,83.7,74.6,4,6.8,1.6,1,2,57.0,Average,1
S0033,20,4.0,85.9,90.2,5,5.0,2.1,1,1,80.8,Good,0
S0034,22,6.4,75.3,43.3,10,4.7,2.6,1,5,75.4,Good,0
S0035,21,6.0,63.5,89.0,10,5.6,2.3,1,5,93.3,Good,1
S0036,21,2.4,98.5,88.3,4,4.7,3.5,1,3,72.2,Good,0
S0037,21,2.0,76.0,74.6,10,7.9,3.2,1,4,78.4,Good,0
S0038,20,3.2,87.3,63.6,5,6.8,0.4,1,3,67.1,Average,0
S0039,19,6.4,79.1,78.8,4,4.2,1.4,1,2,74.1,Good,0
S0040,22,4.4,58.6,53.4,4,8.4,3.6,1,2,64.4,Average,1
S0041,19,7.5,65.7,76.7,7,7.0,3.0,1,3,85.9,Good,1
S0042,18,5.6,57.8,78.2,10,6.2,0.1,1,3,87.7,Good,1
S0043,22,5.3,63.6,69.7,10,4.7,2.5,1,3,80.4,Good,1
S0044,17,6.4,64.0,54.3,3,6.3,0.5,1,1,51.3,Average,1
S0045,22,6.3,73.7,40.1,5,8.6,2.0,1,3,74.1,Good,0
S0046,20,3.4,69.5,50.8,9,6.9,4.0,1,3,82.2,Good,1
S0047,17,2.8,71.3,85.9,10,6.3,0.3,1,4,84.8,Good,0
S0048,17,4.1,91.8,51.7,5,7.0,3.3,1,5,79.2,Good,0
S0049,19,4.4,56.0,44.1,4,6.8,1.9,1,2,63.4,Average,1
S0050,17,2.0,59.7,53.6,10,7.1,3.9,1,4,64.3,Average,1
S0051,17,4.1,91.4,68.6,6,5.0,3.4,1,2,65.3,Average,0
S0052,20,5.5,79.0,72.2,9,4.7,0.3,1,4,93.1,Good,0
S0053,22,2.0,74.8,88.2,5,4.1,2.6,1,4,77.8,Good,0
S0054,19,2.0,67.0,87.0,5,8.2,3.4,1,3,74.9,Good,1
S0055,21,2.2,79.4,93.3,10,4.0,1.1,1,2,82.7,Good,0
S0056,22,3.0,65.0,88.6,7,5.3,2.8,1,2,76.9,Good,1
S0057,21,7.7,93.6,64.8,7,6.9,1.0,1,4,94.6,Good,0
S0058,20,1.2,92.1,47.8,4,6.5,0.8,1,4,61.0,Average,0
S0059,19,2.3,69.5,92.6,5,8.5,1.3,1,5,76.6,Good,1
S0060,20,2.2,56.1,52.6,6,5.1,1.2,1,2,58.5,Average,1
S0061,18,4.3,94.9,74.2,7,4.6,3.8,1,2,73.0,Good,0
S0062,19,1.1,68.4,54.5,3,4.8,0.9,1,2,44.5,Needs Support,1
S0063,19,4.2,84.6,84.9,5,6.5,1.7,1,5,87.2,Good,0
S0064,18,2.1,93.6,51.0,8,5.5,1.9,1,3,66.0,Average,0
S0065,22,2.9,90.9,63.1,7,6.3,2.8,0,2,51.8,Average,1
S0066,17,6.5,93.8,52.1,7,7.4,3.9,1,5,89.2,Good,0
S0067,17,2.3,77.0,87.3,10,5.6,2.5,1,5,65.0,Average,0
S0068,18,5.3,92.9,74.1,5,7.3,3.4,1,4,99.9,Good,0
S0069,22,3.8,75.8,74.7,3,4.1,0.5,1,5,75.8,Good,0
S0070,21,3.9,66.9,57.3,3,6.7,2.6,1,4,70.0,Average,1
S0071,22,6.7,76.6,49.7,10,8.5,0.7,1,2,82.2,Good,0
S0072,18,2.1,70.1,87.2,10,8.7,3.5,1,1,70.0,Average,0
S0073,21,7.5,89.5,82.1,7,6.9,2.4,1,5,97.9,Good,0
